"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129362,29,186,186,"English (American)","WS","Second","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129363,20,173,173,"English (American)","WS","Second","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129364,22,121,121,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129365,20,62,62,"English (American)","WS","Third","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129366,27,457,457,"English (American)","WS","Fourth","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129367,21,18,18,"English (American)","WS","Third","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129368,28,361,361,"English (American)","WS","Third","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129369,21,3,3,"English (American)","WS","Third","Other","Female",NA,TRUE,"Primary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129370,23,175,175,"English (American)","WS","Third","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129371,20,59,59,"English (American)","WS","Fourth","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129372,29,182,182,"English (American)","WS","Fifth","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129373,26,458,458,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129374,17,11,11,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129375,25,87,87,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129376,17,55,55,"English (American)","WS","Second","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129377,16,72,72,"English (American)","WS","Third","Other","Female",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
