Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,0.845,0.675,0.565,0.615,0.116,0.16,2021
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.70100000000001,0.867,-0.054000000000000006,0.789,1.178,0.996,0.574,0.59,0.153,0.096,2021
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,1.285,1.047,0.5870000000000001,0.405,0.08199999999999999,0.08900000000000001,2021
Colombia,Latin America and Caribbean,6.0120000000000005,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,1.021,0.866,0.615,0.5539999999999999,0.1,0.063,2021
Hungary,Central and Eastern Europe,5.992000000000001,10.358,0.943,68.0,0.755,-0.18600000000000005,0.8759999999999999,1.301,1.083,0.615,0.454,0.067,0.04,2021
Thailand,Southeast Asia,5.985,9.805,0.888,67.40100000000001,0.884,0.287,0.895,1.107,0.957,0.596,0.611,0.375,0.028,2021
Nicaragua,Latin America and Caribbean,5.972,8.62,0.8640000000000001,67.657,0.836,0.02,0.664,0.693,0.904,0.604,0.5529999999999999,0.201,0.17600000000000002,2021
Japan,East Asia,5.94,10.611,0.884,75.1,0.7959999999999999,-0.258,0.638,1.389,0.949,0.838,0.504,0.02,0.192,2021
Argentina,Latin America and Caribbean,5.9289999999999985,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001,1.162,0.98,0.6459999999999999,0.544,0.069,0.067,2021
Portugal,Western Europe,5.9289999999999985,10.421,0.879,72.6,0.892,-0.244,0.887,1.3230000000000002,0.939,0.76,0.621,0.029,0.033,2021
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.3,0.857,0.081,0.809,0.703,0.787,0.593,0.578,0.241,0.083,2021
Croatia,Central and Eastern Europe,5.8820000000000014,10.217,0.924,70.79899999999998,0.754,-0.118,0.939,1.251,1.039,0.703,0.453,0.111,0.0,2021
Philippines,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,0.853,0.828,0.426,0.6509999999999999,0.125,0.126,2021
South Korea,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,1.403,0.758,0.8009999999999999,0.353,0.134,0.135,2021
Peru,Latin America and Caribbean,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999,0.986,0.833,0.623,0.536,0.087,0.031,2021
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,1.032,0.919,0.618,0.395,0.261,0.005,2021
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.8220000000000001,-0.079,0.918,0.985,0.888,0.542,0.536,0.13699999999999998,0.013,2021
Ecuador,Latin America and Caribbean,5.7639999999999985,9.313,0.821,68.8,0.8420000000000001,-0.124,0.843,0.935,0.8059999999999999,0.64,0.56,0.107,0.062,2021
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.40100000000001,0.935,0.119,0.908,0.665,0.971,0.501,0.6729999999999999,0.266,0.02,2021
Greece,Western Europe,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,1.273,0.8109999999999999,0.76,0.243,0.0,0.07400000000000001,2021
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001,0.8420000000000001,0.782,0.486,0.6,0.138,0.064,2021
Mongolia,East Asia,5.6770000000000005,9.4,0.935,62.5,0.708,0.116,0.856,0.966,1.065,0.442,0.397,0.263,0.053,2021
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.8759999999999999,0.028,0.882,0.983,0.97,0.5489999999999999,0.602,0.206,0.037000000000000005,2021
Montenegro,Central and Eastern Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,1.155,0.8909999999999999,0.637,0.397,0.166,0.081,2021
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001,1.106,0.879,0.555,0.581,0.101,0.14400000000000002,2021
North Cyprus,Western Europe,5.5360000000000005,10.576,0.82,73.898,0.795,0.012,0.626,1.3769999999999998,0.8059999999999999,0.8009999999999999,0.503,0.196,0.2,2021
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,1.124,1.007,0.56,0.326,0.07,0.199,2021
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,1.241,0.992,0.511,0.409,0.115,0.06,2021
Hong Kong,East Asia,5.477,11.0,0.836,76.82,0.7170000000000001,0.067,0.403,1.525,0.841,0.893,0.408,0.232,0.342,2021
Tajikistan,Commonwealth of Independent States,5.466,8.091000000000001,0.86,64.281,0.8320000000000001,-0.056,0.5529999999999999,0.508,0.895,0.498,0.5479999999999999,0.152,0.247,2021
Vietnam,Southeast Asia,5.4110000000000005,8.972999999999997,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,0.8170000000000001,0.873,0.616,0.679,0.124,0.091,2021
Libya,Middle East and North Africa,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667,1.044,0.821,0.435,0.474,0.131,0.174,2021
