Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
Finland,Western Europe,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2020
Denmark,Western Europe,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.06620177599999999,0.168489456,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2020
Switzerland,Western Europe,7.559899807000001,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.39077425,1.4724034069999998,1.040533185,0.62895447,0.269055754,0.407945901,2020
Iceland,Western Europe,7.504499912000001,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.7117097379999999,1.326501608,1.5475674869999998,1.000843406,0.661980748,0.362330228,0.14454077199999998,2020
Norway,Western Europe,7.4879999160000015,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.42420733,1.495172501,1.0080718990000002,0.670200884,0.287985086,0.434100568,2020
Netherlands,Western Europe,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2020
Sweden,Western Europe,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.322235227,1.4333477019999998,0.986470461,0.6502977010000001,0.272827893,0.442066371,2020
New Zealand,North America and ANZ,7.299600123999999,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2020
Austria,Western Europe,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.317285538,1.437444925,1.000933528,0.6033688779999999,0.255509764,0.281256139,2020
Luxembourg,Western Europe,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2020
Canada,North America and ANZ,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1.301647663,1.4353919030000002,1.022501945,0.644028127,0.28152892,0.35170185600000003,2020
Australia,North America and ANZ,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2020
United Kingdom,Western Europe,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2020
