,Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
758,Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,,,,,,,2015
759,Tanzania,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.34376999999999996,0.057470000000000014,,,,,,,2015
760,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.21333000000000002,0.08123999999999999,,,,,,,2015
761,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0,0.06699,0.48878999999999995,0.23835,0.08288999999999999,,,,,,,2015
762,Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,,,,,,,2015
763,Guinea,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139000000000001,,,,,,,2015
764,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922000000000002,,,,,,,2015
765,Burkina Faso,Sub-Saharan Africa,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.21746999999999997,0.12832000000000002,,,,,,,2015
766,Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.3651,0.09719,,,,,,,2015
767,Rwanda,Sub-Saharan Africa,3.465,0.22208000000000008,0.7737,0.42863999999999997,0.59201,0.22628,0.55191,,,,,,,2015
768,Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,,,,,,,2015
769,Syria,Middle East and Northern Africa,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.47179,0.18905999999999998,,,,,,,2015
770,Burundi,Sub-Saharan Africa,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.19727,0.10062,,,,,,,2015
771,Togo,Sub-Saharan Africa,2.839,0.20868,0.13995,0.28443,0.36453,0.16680999999999999,0.10730999999999999,,,,,,,2015
772,Denmark,Western Europe,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.36171,0.44453,,,,,,,2016
773,Switzerland,Western Europe,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,,,,,,,2016
774,Iceland,Western Europe,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.47678,0.14975,,,,,,,2016
775,Norway,Western Europe,7.497999999999998,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,,,,,,,2016
776,Finland,Western Europe,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,,,,,,,2016
777,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,,,,,,,2016
778,Netherlands,Western Europe,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.47416,0.29927,,,,,,,2016
779,New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.4940100000000001,0.41904,,,,,,,2016
780,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.47407,0.32331,,,,,,,2016
781,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,,,,,,,2016
782,Israel,Middle East and Northern Africa,7.267,1.33766,0.99537,0.8491700000000001,0.36432,0.32288,0.08728,,,,,,,2016
783,Austria,Western Europe,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.32865,0.21348000000000006,,,,,,,2016
784,United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,,,,,,,2016
785,Costa Rica,Latin America and Caribbean,7.0870000000000015,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,,,,,,,2016
786,Puerto Rico,Latin America and Caribbean,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,,,,,,,2016
787,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,,,,,,,2016
788,Brazil,Latin America and Caribbean,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.15775999999999998,0.14165999999999998,,,,,,,2016
789,Belgium,Western Europe,6.9289999999999985,1.42539,1.05249,0.8195899999999999,0.51354,0.2424,0.26248,,,,,,,2016
790,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,,,,,,,2016
791,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.8454200000000001,0.5487,0.27571,0.35329,,,,,,,2016
792,Mexico,Latin America and Caribbean,6.778,1.1150799999999998,0.7146,0.71143,0.37709,0.11735,0.18355,,,,,,,2016
793,Singapore,Southeastern Asia,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.32706,0.46987,,,,,,,2016
794,United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,,,,,,,2016
795,Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.8188300000000001,0.37789,0.31595,0.11451,,,,,,,2016
796,Panama,Latin America and Caribbean,6.7010000000000005,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,,,,,,,2016
797,Argentina,Latin America and Caribbean,6.65,1.15137,1.0661200000000002,0.69711,0.42284,0.10989000000000003,0.07296,,,,,,,2016
798,Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,,,,,,,2016
799,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.8711399999999999,0.72993,0.56215,0.26591,0.35561,,,,,,,2016
800,Uruguay,Latin America and Caribbean,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.18056,0.21394,,,,,,,2016
801,Malta,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,,,,,,,2016
802,Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.15625999999999998,0.05399,,,,,,,2016
803,France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,,,,,,,2016
804,Thailand,Southeastern Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,,,,,,,2016
805,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,,,,,,,2016
806,Taiwan,Eastern Asia,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,,,,,,,2016
807,Qatar,Middle East and Northern Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,,,,,,,2016
808,Spain,Western Europe,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.17665,0.061370000000000015,,,,,,,2016
809,Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.07044,0.16157,,,,,,,2016
810,Guatemala,Latin America and Caribbean,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.28808,0.08701,,,,,,,2016
811,Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.16665,0.12692,,,,,,,2016
812,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.8775799999999999,0.63569,0.43166,0.15965,0.23669,,,,,,,2016
813,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,,,,,,,2016
814,Trinidad and Tobago,Latin America and Caribbean,6.167999999999998,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,,,,,,,2016
815,Venezuela,Latin America and Caribbean,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.0425,0.08304,,,,,,,2016
816,Slovakia,Central and Eastern Europe,6.0779999999999985,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,,,,,,,2016
817,El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,,,,,,,2016
818,Malaysia,Southeastern Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,,,,,,,2016
819,Nicaragua,Latin America and Caribbean,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46582,0.29773,0.16292,,,,,,,2016
820,Uzbekistan,Central and Eastern Europe,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.34326,0.28333,,,,,,,2016
821,Italy,Western Europe,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.16684000000000002,0.02556,,,,,,,2016
822,Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,,,,,,,2016
823,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,,,,,,,2016
824,Japan,Eastern Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,,,,,,,2016
825,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,,,,,,,2016
826,Moldova,Central and Eastern Europe,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25202,0.19997,0.01903,,,,,,,2016
827,Russia,Central and Eastern Europe,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.02736,0.03586,,,,,,,2016
828,Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,,,,,,,2016
829,South Korea,Eastern Asia,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.18824,0.07716,,,,,,,2016
830,Bolivia,Latin America and Caribbean,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.21698,0.07746,,,,,,,2016
831,Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,,,,,,,2016
832,Belarus,Central and Eastern Europe,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.13942000000000002,0.17457,,,,,,,2016
833,North Cyprus,Western Europe,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.26322,0.16577999999999998,,,,,,,2016
834,Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,,,,,,,2016
835,Peru,Latin America and Caribbean,5.7429999999999986,0.99602,0.81255,0.6299399999999999,0.37502,0.14527,0.05292,,,,,,,2016
836,Turkmenistan,Central and Eastern Europe,5.658,1.08017,1.03817,0.4400600000000001,0.37408,0.22567,0.28467,,,,,,,2016
837,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.052029999999999986,,,,,,,2016
838,Libya,Middle East and Northern Africa,5.615,1.0668799999999998,0.95076,0.52304,0.40672,0.17087,0.10339,,,,,,,2016
839,Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,,,,,,,2016
840,Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.052279999999999986,,,,,,,2016
841,Paraguay,Latin America and Caribbean,5.5379999999999985,0.8937299999999999,1.11111,0.58295,0.46235,0.25296,0.07396,,,,,,,2016
842,Romania,Central and Eastern Europe,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.12889,0.006790000000000001,,,,,,,2016
843,Estonia,Central and Eastern Europe,5.517,1.27964,1.0516299999999998,0.68098,0.41511,0.08423,0.18519,,,,,,,2016
844,Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.5946899999999999,0.43597,0.22245,0.04294,,,,,,,2016
845,Croatia,Central and Eastern Europe,5.488,1.18649,0.6080899999999999,0.70524,0.23907,0.18434,0.04002,,,,,,,2016
846,Hong Kong,Eastern Asia,5.457999999999998,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,,,,,,,2016
847,Somalia,Sub-Saharan Africa,5.44,0,0.33613000000000004,0.11465999999999997,0.5677800000000001,0.27225,0.3118,,,,,,,2016
848,Kosovo,Central and Eastern Europe,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,,,,,,,2016
849,Turkey,Middle East and Northern Africa,5.3889999999999985,1.1649200000000002,0.8771700000000001,0.64718,0.23889,0.04707,0.12348,,,,,,,2016
850,Indonesia,Southeastern Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,,,,,,,2016
851,Jordan,Middle East and Northern Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,,,,,,,2016
852,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914000000000002,,,,,,,2016
853,Philippines,Southeastern Asia,5.279,0.81217,0.87877,0.4703600000000001,0.5485399999999999,0.21674,0.11757,,,,,,,2016
854,China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,,,,,,,2016
855,Bhutan,Southern Asia,5.1960000000000015,0.8527,0.90836,0.49759,0.46074,0.4854600000000001,0.1616,,,,,,,2016
856,Kyrgyzstan,Central and Eastern Europe,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.38432,0.04762,,,,,,,2016
857,Serbia,Central and Eastern Europe,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,,,,,,,2016
858,Bosnia and Herzegovina,Central and Eastern Europe,5.1629999999999985,0.93383,0.64367,0.7076600000000001,0.09511,0.29889,0,,,,,,,2016
859,Montenegro,Central and Eastern Europe,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.17190999999999998,0.12721,,,,,,,2016
860,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.99496,0.5766899999999999,0.52259,0.21286,0.12372,,,,,,,2016
861,Morocco,Middle East and Northern Africa,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25646,0.04053,0.08404,,,,,,,2016
862,Hungary,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,,,,,,,2016
863,Pakistan,Southern Asia,5.1320000000000014,0.68816,0.26135,0.40306,0.14622000000000002,0.31185,0.1388,,,,,,,2016
864,Lebanon,Middle East and Northern Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.23693000000000006,0.03061,,,,,,,2016
865,Portugal,Western Europe,5.122999999999998,1.27607,0.94367,0.7936300000000001,0.44727,0.11691,0.01521,,,,,,,2016
866,Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.23507,0.07047,,,,,,,2016
867,Vietnam,Southeastern Asia,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.25075,0.11556,,,,,,,2016
868,Somaliland Region,Sub-Saharan Africa,5.057,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.51479,0.36794,,,,,,,2016
869,Tunisia,Middle East and Northern Africa,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,,,,,,,2016
870,Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.058220000000000015,0,0.04127,,,,,,,2016
871,Tajikistan,Central and Eastern Europe,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.25998000000000004,0.13509000000000002,,,,,,,2016
872,Mongolia,Eastern Asia,4.907,0.98853,1.08983,0.55469,0.35972,0.34539000000000003,0.03285,,,,,,,2016
873,Laos,Southeastern Asia,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,,,,,,,2016
874,Nigeria,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,,,,,,,2016
