Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Tajikistan,Commonwealth of Independent States,5.466,8.091000000000001,0.86,64.281,0.8320000000000001,-0.055999999999999994,0.5529999999999999,0.508,0.895,0.498,0.5479999999999999,0.152,0.247
Vietnam,Southeast Asia,5.4110000000000005,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,0.8170000000000001,0.873,0.616,0.679,0.124,0.091
Libya,Middle East and North Africa,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667,1.044,0.821,0.435,0.474,0.131,0.174
Malaysia,Southeast Asia,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,1.2590000000000001,0.797,0.5870000000000001,0.624,0.27,0.064
Indonesia,Southeast Asia,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867,0.9540000000000001,0.7859999999999999,0.433,0.598,0.541,0.046
Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,8.117,0.636,58.221000000000004,0.695,-0.068,0.745,0.518,0.392,0.307,0.381,0.14400000000000002,0.124
China,East Asia,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,1.061,0.785,0.665,0.636,0.09300000000000001,0.11699999999999999
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0.669,0.409,0.052000000000000005,0.43799999999999994,0.177,0.092
Armenia,Commonwealth of Independent States,5.2829999999999995,9.487,0.799,67.055,0.825,-0.168,0.629,0.996,0.758,0.585,0.54,0.079,0.198
Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,0.519,0.7020000000000001,0.496,0.488,0.287,0.135
Bulgaria,Central and Eastern Europe,5.266,10.016,0.9309999999999999,67,0.7879999999999999,-0.096,0.932,1.181,1.055,0.583,0.494,0.125,0.005
